id,question_bn,question_en,question_banglish,tier1_class,topic,strictness_label,short_explanation_bn,short_explanation_en,reference_text,reference_source,source_type,verification_status,search_keywords
69,"অজু ভাঙার কারণ কি কি?","What breaks wudu?","oju bhangar karon ki ki",Obligatory,Purity,"Fard knowledge","প্রস্রাব, পায়খানা, বায়ু, ঘুম ইত্যাদি অজু ভেঙে দেয়।","Urine, feces, wind, deep sleep etc. break wudu.","SEE_REFERENCE_SOURCE","Fiqh and Hadith on nullifiers of wudu","Fiqh_Hanafi",NEEDS_VERIFICATION,"oju bhanga,nullifiers"
70,"গোসল ফরজ হওয়ার কারণ কি কি?","What necessitates ghusl?","gosol foroj howar karon ki ki",Obligatory,Purity,"Fard knowledge","বীর্যপাত, সহবাস, ঋতুস্রাব শেষ হওয়া ইত্যাদি গোসল ফরজ করে।","Emission of semen, intercourse, end of menses necessitate ghusl.","And if you are in a state of janabah, then purify yourselves","Quran 5:6","Quran",verified,"ghusl reasons,janabat"
71,"হালাল পশু ছাড়া অন্য পশু জবাই কি হারাম?","Is slaughtering non-permissible animals forbidden?","halal poshu chara onno poshu jobai ki haram",Forbidden,Food_and_Drink,"Haram","অহালাল প্রাণী জবাই করে খাওয়া হারাম।","Slaughtering and eating prohibited animals is forbidden.","Prohibited to you are... the flesh of swine","Quran 5:3","Quran",verified,"haram animal slaughter"
72,"সুদের চুক্তি করা কি হারাম?","Is entering into an interest-based contract forbidden?","suder chukti kora ki haram",Forbidden,Business_and_Finance,"Haram","সুদের চুক্তি করা হারাম।","Entering into riba contracts is forbidden.","Allah has permitted trade and forbidden interest","Quran 2:275","Quran",verified,"riba contract,interest deal"
73,"অন্যের গোপন বিষয় খোঁজা কি হারাম?","Is spying on others forbidden?","onner gopon bishoy khoja ki haram",Forbidden,Social_Conduct,"Haram","অন্যের গোপন বিষয় খোঁজা হারাম।","Spying on others is forbidden.","And do not spy or backbite each other","Quran 49:12","Quran",verified,"spying,tajassus,khoja"
74,"পিতামাতাকে অমান্য করা কি হারাম?","Is disobeying parents forbidden?","pitamatake omanya kora ki haram",Forbidden,Family_and_Marriage,"Haram (major sin)","পিতামাতাকে অমান্য করা বড় গুনাহ।","Disobeying parents is a major sin.","And We have enjoined upon man [care] for his parents","Quran 31:14","Quran",verified,"parents disobedience,uqooq"
75,"মৃত ব্যক্তির সম্পত্তি ভাগ করা কি ফরজ?","Is distributing inheritance obligatory?","mrito byaktir shompotti bhag kora ki foroj",Obligatory,Family_and_Marriage,"Fard","মৃতের সম্পত্তি শরিয়ত অনুসারে ভাগ করা ফরজ।","Distributing inheritance according to Shariah is obligatory.","SEE_REFERENCE_SOURCE","Quran inheritance verses (4:11 etc.)","Quran",NEEDS_VERIFICATION,"miras,inheritance,waris"
76,"নামাজে হাই তোলা কি মাকরুহ?","Is yawning during prayer disliked?","namaje hai tola ki makruh",Disliked,Worship,"Makruh Tanzihi","নামাজের মধ্যে হাই তোলা মাকরুহ।","Yawning during prayer is disliked.","SEE_REFERENCE_SOURCE","Hadith collections on etiquette of prayer","Sahih_Bukhari",NEEDS_VERIFICATION,"yawn,hai tola,namaj,makruh"
77,"মসজিদে জোরে কথা বলা কি মাকরুহ?","Is speaking loudly in the mosque disliked?","mosjide jore kotha bola ki makruh",Disliked,Worship,"Makruh","মসজিদে জোরে কথা বলা মাকরুহ।","Speaking loudly in the mosque is disliked.","SEE_REFERENCE_SOURCE","Hadith on mosque etiquette","Sahih_Bukhari",NEEDS_VERIFICATION,"mosque,loud talk,makruh"
78,"নামাজের পর তাসবিহ না পড়া কি মাকরুহ?","Is omitting the post-prayer tasbih disliked?","namajer por tasbih na pora ki makruh",Disliked,Worship,"Makruh Tanzihi","নামাজের পর তাসবিহ ছাড়া চলে যাওয়া মাকরুহ।","Leaving without the recommended post-prayer dhikr is mildly disliked.","SEE_REFERENCE_SOURCE","Hadith on post-salah dhikr","Sahih_Muslim",NEEDS_VERIFICATION,"tasbih,after salah,makruh"
79,"এক হাতে খাওয়া কি মাকরুহ?","Is eating with one hand disliked?","ek hathe khawa ki makruh",Disliked,Food_and_Drink,"Makruh","বাম হাতে খাওয়া মাকরুহ, ডান হাতে খাওয়া সুন্নত।","Eating with the left hand is disliked.","SEE_REFERENCE_SOURCE","Hadith on eating with right hand","Sahih_Muslim",NEEDS_VERIFICATION,"left hand,eating,makruh"
80,"দাঁড়িয়ে পানি পান করা কি মাকরুহ?","Is drinking water while standing disliked?","dariye pani pan kora ki makruh",Disliked,Food_and_Drink,"Makruh Tanzihi","দাঁড়িয়ে পানি পান করা মাকরুহ (কিছু মতে)।","Drinking while standing is considered disliked by many scholars.","SEE_REFERENCE_SOURCE","Hadith on drinking while standing","Sahih_Muslim",NEEDS_VERIFICATION,"standing drink,pani,makruh"
81,"কবরের পাশে নামাজ পড়া কি মাকরুহ?","Is praying near a grave disliked?","koborer pashe namaj pora ki makruh",Disliked,Funeral_and_Mourning,"Makruh","কবরের দিকে মুখ করে বা পাশে নামাজ পড়া মাকরুহ।","Praying towards or very near graves is disliked.","SEE_REFERENCE_SOURCE","Hadith prohibiting prayer facing graves","Sahih_Muslim",NEEDS_VERIFICATION,"grave prayer,makruh"
82,"মসজিদে ব্যবসা করা কি মাকরুহ?","Is doing business inside the mosque disliked?","mosjide byabsa kora ki makruh",Disliked,Business_and_Finance,"Makruh","মসজিদের ভিতরে ক্রয়-বিক্রয় মাকরুহ।","Conducting trade inside the mosque is disliked.","SEE_REFERENCE_SOURCE","Hadith on mosque etiquette","Abu_Dawood",NEEDS_VERIFICATION,"mosque business,makruh"
83,"নামাজে অপ্রয়োজনীয় নড়াচড়া কি মাকরুহ?","Is unnecessary movement in prayer disliked?","namaje oproyojonio norachora ki makruh",Disliked,Worship,"Makruh","নামাজে অপ্রয়োজনীয় নড়াচড়া মাকরুহ।","Unnecessary movement during prayer is disliked.","SEE_REFERENCE_SOURCE","Fiqh on khushu and movement","Fiqh_Hanafi",NEEDS_VERIFICATION,"movement in salah,makruh"
84,"বিদআতী উৎসব পালন করা কি নিষিদ্ধ?","Is celebrating religious innovations forbidden?","bidaati utshob palon kora ki nishiddho",Religious_Innovation,Faith_and_Aqidah,"Bid'ah","ধর্মীয় বিদআতভিত্তিক উৎসব পালন করা নিষিদ্ধ।","Celebrating innovated religious festivals is prohibited.","Whoever innovates something in this matter of ours that is not part of it will have it rejected","Sahih al-Bukhari 2697","Sahih_Bukhari",verified,"bidaat,innovation,festival"
85,"কবরের উপর গম্বুজ বানানো কি বিদআত?","Is building domes over graves an innovation?","koborer upor gombuj banano ki bidaat",Religious_Innovation,Funeral_and_Mourning,"Bid'ah","কবরের উপর গম্বুজ নির্মাণ অনেক উলামার মতে বিদআত।","Building domes over graves is considered an innovation by many scholars.","SEE_REFERENCE_SOURCE","Hadiths on not building over graves","Sahih_Muslim",NEEDS_VERIFICATION,"dome,grave,bidaat"
86,"মীলাদ উৎসব পালন করা কি বিদআত?","Is celebrating Mawlid an innovation?","milad utshob palon kora ki bidaat",Religious_Innovation,Faith_and_Aqidah,"Bid'ah (difference of opinion)","মীলাদ উদযাপন নিয়ে উলামাদের মধ্যে মতভেদ আছে; অনেকের মতে বিদআত।","Celebration of Mawlid is considered an innovation by a significant group of scholars.","SEE_REFERENCE_SOURCE","Scholarly opinions on Mawlid","Fiqh_Hanafi",NEEDS_VERIFICATION,"milad,mawlid,bidaat"
87,"তাবিজ ঝুলানো কি শিরক বা বিদআত?","Is wearing amulets shirk or innovation?","tabij jhulano ki shirk ba bidaat",Faith_Violation,Faith_and_Aqidah,"Shirk / Bid'ah if believed to have independent power","তাবিজকে স্বাধীন ক্ষমতাসম্পন্ন মনে করলে শিরক।","Wearing amulets believing they have independent power constitutes shirk.","SEE_REFERENCE_SOURCE","Hadith on ruqyah and amulets","Abu_Dawood",NEEDS_VERIFICATION,"tabij,amulet,shirk"
88,"গণক বা জ্যোতিষীর কাছে যাওয়া কি হারাম?","Is going to fortune-tellers forbidden?","gonok ba jyotishir kache jawa ki haram",Forbidden,Faith_and_Aqidah,"Haram / leads to kufr","গণক বা জ্যোতিষীর কাছে গিয়ে বিশ্বাস করা হারাম।","Consulting fortune-tellers and believing them is forbidden.","SEE_REFERENCE_SOURCE","Hadith on visiting soothsayers","Sahih_Muslim",NEEDS_VERIFICATION,"fortune teller,jyotish,haram"
89,"কবরপূজা করা কি শিরক?","Is grave worship shirk?","koborpuj a kora ki shirk",Faith_Violation,Faith_and_Aqidah,"Shirk","কবরের কাছে ইবাদত করা বা সাহায্য চাওয়া শিরক।","Worshipping at graves or seeking help from the dead is shirk.","Indeed, Allah does not forgive association with Him...","Quran 4:48","Quran",verified,"grave worship,shirk,kobor"
90,"আল্লাহর গুণবাচক নাম অস্বীকার করা কি কুফর?","Is denying Allah's names and attributes disbelief?","allahor gunbachok nam oshikar kora ki kufr",Faith_Violation,Faith_and_Aqidah,"Kufr","আল্লাহর নাম ও সিফাত অস্বীকার করা কুফর।","Denying the names and attributes of Allah is disbelief.","SEE_REFERENCE_SOURCE","Aqidah texts on Asma wa Sifat","Ijma",NEEDS_VERIFICATION,"asma was sifat,kufr"
91,"ইসলাম ছাড়া অন্য ধর্ম সঠিক বলা কি কুফর?","Is saying another religion is also correct disbelief?","islam chara onno dharm shothik bola ki kufr",Faith_Violation,Faith_and_Aqidah,"Kufr","ইসলাম ছাড়া অন্য ধর্মকে সঠিক বলা কুফর।","Claiming that a religion other than Islam is valid is disbelief.","SEE_REFERENCE_SOURCE","Quran 3:85 and scholarly consensus","Quran",NEEDS_VERIFICATION,"other religion,kufr"
92,"নফল সদকা করা কি মুস্তাহাব?","Is giving voluntary charity recommended?","nafl sodka kora ki mustahab",Recommended,Worship,"Mustahabb","নফল সদকা করা অত্যন্ত মুস্তাহাব।","Giving voluntary charity is highly recommended.","SEE_REFERENCE_SOURCE","Numerous hadiths on sadaqah","Sahih_Bukhari",NEEDS_VERIFICATION,"sadaqah,charity,mustahab"
93,"দুঃখীকে সাহায্য করা কি মুস্তাহাব?","Is helping a distressed person recommended?","dukkhike shahajjo kora ki mustahab",Recommended,Social_Conduct,"Mustahabb","দুঃখী মানুষকে সাহায্য করা মুস্তাহাব ও সওয়াবের কাজ।","Helping a person in distress is recommended.","SEE_REFERENCE_SOURCE","Hadith on relieving hardship","Sahih_Muslim",NEEDS_VERIFICATION,"help,distress,mustahab"
94,"মিসওয়াক করা কি সুন্নত?","Is using the siwak (miswak) a sunnah?","miswak kora ki sunnat",Recommended,Purity,"Sunnah Mu'akkadah","মিসওয়াক করা সুন্নত।","Using the miswak is a emphasised sunnah.","SEE_REFERENCE_SOURCE","Hadith on siwak","Sahih_Bukhari",NEEDS_VERIFICATION,"miswak,siwak,sunnah"
95,"সালাম দেওয়া কি সুন্নত?","Is giving salam a sunnah?","salam dewa ki sunnat",Recommended,Social_Conduct,"Sunnah","সালাম দেওয়া সুন্নত এবং উত্তম।","Initiating the greeting of salam is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on spreading salam","Sahih_Bukhari",NEEDS_VERIFICATION,"salam,greeting,sunnah"
96,"দরুদ পড়া কি মুস্তাহাব?","Is sending salutations upon the Prophet recommended?","dorud pora ki mustahab",Recommended,Worship,"Mustahabb / Sunnah","রাসূলুল্লাহর উপর দরুদ পাঠ করা মুস্তাহাব।","Sending salutations upon the Prophet is recommended.","SEE_REFERENCE_SOURCE","Quran 33:56 and hadiths","Quran",NEEDS_VERIFICATION,"durud,salawat,mustahab"
97,"হাসিখুশি থাকা কি মুস্তাহাব?","Is maintaining a cheerful face recommended?","hashikhushi thaka ki mustahab",Recommended,Social_Conduct,"Mustahabb","হাসিখুশি চেহারা নিয়ে কথা বলা সদকা।","Meeting others with a cheerful face is recommended (a form of charity).","SEE_REFERENCE_SOURCE","Hadith on smiling","Sahih_Muslim",NEEDS_VERIFICATION,"smile,cheerful,mustahab"
98,"পানি সংরক্ষণ করা কি জায়েজ?","Is storing water permissible?","pani songrokhon kora ki jayez",Permissible,Food_and_Drink,"Mubah","পানি সংরক্ষণ করা সম্পূর্ণ জায়েজ।","Storing water is permissible.","SEE_REFERENCE_SOURCE","General principle of permissibility","Fiqh_Hanafi",verified,"water storage,pani"
99,"বই পড়া কি জায়েজ?","Is reading books permissible?","boi pora ki jayez",Permissible,Social_Conduct,"Mubah","বই পড়া জায়েজ এবং জ্ঞান অর্জন উত্তম।","Reading books is permissible and seeking knowledge is encouraged.","SEE_REFERENCE_SOURCE","General principle","Fiqh_Hanafi",verified,"book,reading,boi"
100,"ঘুমানোর আগে দোয়া পড়া কি মুস্তাহাব?","Is reciting dua before sleeping recommended?","ghumanor age doya pora ki mustahab",Recommended,Worship,"Mustahabb","ঘুমানোর আগে দোয়া ও আয়াতুল কুরসি পড়া মুস্তাহাব।","Reciting the recommended duas before sleep is recommended.","SEE_REFERENCE_SOURCE","Hadith on sleep etiquette","Sahih_Bukhari",NEEDS_VERIFICATION,"sleep dua,ghum"
101,"দাড়ি রাখা কি ওয়াজিব?","Is keeping the beard obligatory?","dari rakha ki wajib",Obligatory,Clothing_and_Adornment,"Wajib / Sunnah Mu'akkadah (difference exists)","দাড়ি রাখা অনেক উলামার মতে ওয়াজিব।","Keeping the beard is considered wajib by many scholars.","SEE_REFERENCE_SOURCE","Hadith on growing the beard","Sahih_Bukhari",NEEDS_VERIFICATION,"beard,dari,wajib"
102,"গোফ ছোট করা কি সুন্নত?","Is trimming the moustache a sunnah?","gof choto kora ki sunnat",Recommended,Clothing_and_Adornment,"Sunnah","গোফ ছোট রাখা সুন্নত।","Trimming the moustache is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on fitrah","Sahih_Bukhari",NEEDS_VERIFICATION,"moustache,gof,sunnah"
103,"নারীর জন্য সুগন্ধি মাখা কি মাকরুহ?","Is wearing perfume outdoors disliked for women?","narir jonno sugondhi makha ki makruh",Disliked,Clothing_and_Adornment,"Makruh / Haram if attracts attention","নারী বাইরে সুগন্ধি ব্যবহার করলে মাকরুহ বা হারাম হতে পারে।","Women wearing strong perfume outdoors that attracts attention is disliked or forbidden.","SEE_REFERENCE_SOURCE","Hadith on women and perfume","Abu_Dawood",NEEDS_VERIFICATION,"perfume,women,makruh"
104,"পুরুষের জন্য রেশমি রুমাল ব্যবহার কি হারাম?","Is using a pure silk handkerchief forbidden for men?","purusher jonno reshmi rumal byabohar ki haram",Forbidden,Clothing_and_Adornment,"Haram","পুরুষের জন্য খাঁটি রেশম ব্যবহার হারাম।","Pure silk is forbidden for men even in small items.","Silk is only worn in this world by the one who will have no share...","Sahih al-Bukhari","Sahih_Bukhari",verified,"silk,men,haram"
105,"ইদুল ফিতরের নামাজ কি ওয়াজিব?","Is the Eid al-Fitr prayer wajib?","idul fitrer namaj ki wajib",Obligatory,Worship,"Wajib (according to Hanafi)","ইদের নামাজ হানাফি মতে ওয়াজিব।","The Eid prayer is considered wajib in the Hanafi school.","SEE_REFERENCE_SOURCE","Fiqh Hanafi on Eid prayer","Fiqh_Hanafi",NEEDS_VERIFICATION,"eid prayer,wajib"
106,"কুরবানি করা কি ওয়াজিব?","Is Qurbani (Udhiyah) obligatory?","qurbani kora ki wajib",Obligatory,Worship,"Wajib (Hanafi view for the eligible)","সামর্থ্যবানদের উপর কুরবানি হানাফি মতে ওয়াজিব।","Qurbani is considered wajib for those who can afford it in the Hanafi school.","SEE_REFERENCE_SOURCE","Fiqh on Udhiyah","Fiqh_Hanafi",NEEDS_VERIFICATION,"qurbani,udhiyah,wajib"
107,"আকিকা করা কি মুস্তাহাব?","Is Aqiqah recommended?","aqika kora ki mustahab",Recommended,Family_and_Marriage,"Mustahabb / Sunnah","আকিকা করা সুন্নত ও মুস্তাহাব।","Aqiqah is a recommended sunnah.","SEE_REFERENCE_SOURCE","Hadith on aqiqah","Sunan Abi Dawood",NEEDS_VERIFICATION,"aqiqah,aqika"
108,"স্তন্যদান করানো কি মুস্তাহাব?","Is breastfeeding recommended?","stonyodan korano ki mustahab",Recommended,Family_and_Marriage,"Mustahabb","মায়ের দুধ খাওয়ানো মুস্তাহাব ও উত্তম।","Breastfeeding is recommended.","SEE_REFERENCE_SOURCE","Quran 2:233","Quran",NEEDS_VERIFICATION,"breastfeeding,stonyodan"
109,"সন্তানকে ভালো নাম রাখা কি মুস্তাহাব?","Is giving a child a good name recommended?","sontanke bhalo nam rakha ki mustahab",Recommended,Family_and_Marriage,"Mustahabb","সন্তানের ভালো নাম রাখা মুস্তাহাব।","Giving a child a good name is recommended.","SEE_REFERENCE_SOURCE","Hadith on naming children","Sahih_Muslim",NEEDS_VERIFICATION,"name,child,mustahab"
110,"মিথ্যা কসম খাওয়া কি হারাম?","Is a false oath forbidden?","mithya kosam khawa ki haram",Forbidden,Oaths_and_Vows,"Haram (major sin)","মিথ্যা কসম খাওয়া কবিরা গুনাহ।","Swearing a false oath is a major sin.","SEE_REFERENCE_SOURCE","Hadith on false oaths","Sahih_Bukhari",NEEDS_VERIFICATION,"false oath,mithya qasam"
111,"তাবলিগের কাজে সময় দেওয়া কি মুস্তাহাব?","Is giving time for Tabligh work recommended?","tabliger kaje somoy dewa ki mustahab",Recommended,Social_Conduct,"Mustahabb / Sunnah","দ্বীনের দাওয়াত ও তাবলিগের কাজে সময় দেওয়া মুস্তাহাব।","Spending time in Tabligh and calling people to Islam is recommended.","SEE_REFERENCE_SOURCE","Quran 3:104 and hadiths on dawah","Quran",NEEDS_VERIFICATION,"tabligh,dawah,mustahab"
112,"তাবলিগ জামাতে যাওয়া কি সুন্নত?","Is going out in Tabligh Jamaat a sunnah?","tablig jamate jawa ki sunnat",Recommended,Social_Conduct,"Mustahabb","তাবলিগ জামাতে বের হওয়া দাওয়াতের একটি পদ্ধতি এবং মুস্তাহাব।","Going out in Tabligh Jamaat is a recommended form of dawah.","SEE_REFERENCE_SOURCE","General encouragement for dawah","Fiqh_Hanafi",NEEDS_VERIFICATION,"tabligh jamaat,gasht"
113,"দাওয়াত দেওয়া কি ফরজ কিফায়া?","Is giving dawah a communal obligation?","dawat dewa ki foroj kifaya",Obligatory,Social_Conduct,"Fard Kifayah","দ্বীনের দাওয়াত দেওয়া ফরজ কিফায়া।","Calling to Islam is a communal obligation.","Let there be a group among you who call others to goodness","Quran 3:104","Quran",verified,"dawah,dawat,foroj kifaya"
114,"বিয়ে করা কি সুন্নত?","Is getting married a sunnah?","biye kora ki sunnat",Recommended,Family_and_Marriage,"Sunnah Mu'akkadah","বিয়ে করা সুন্নত এবং যৌবনের হিফাজতের উপায়।","Marriage is an emphasised sunnah.","SEE_REFERENCE_SOURCE","Hadith: O young men, whoever is able to marry...","Sahih_Bukhari",NEEDS_VERIFICATION,"nikah,biye,marriage,sunnat"
115,"মহর নির্ধারণ করা কি ওয়াজিব?","Is fixing the mahr obligatory?","mohor nirdharan kora ki wajib",Obligatory,Family_and_Marriage,"Wajib","বিবাহে মহর নির্ধারণ করা ওয়াজিব।","Fixing the mahr (dower) is obligatory in marriage.","And give the women their dower graciously","Quran 4:4","Quran",verified,"mahr,mohor,dower"
116,"স্ত্রীর ভরণপোষণ করা কি ফরজ?","Is providing maintenance to the wife obligatory?","strir bhoronposhon kora ki foroj",Obligatory,Family_and_Marriage,"Fard","স্ত্রীর ভরণপোষণ (খাদ্য, বস্ত্র, বাসস্থান) স্বামীর উপর ফরজ।","Providing maintenance (food, clothing, housing) to the wife is obligatory.","SEE_REFERENCE_SOURCE","Quran 2:233 and 65:6","Quran",verified,"nafaqa,maintenance,bhoronposhon"
117,"স্বামী-স্ত্রীর হক আদায় করা কি ওয়াজিব?","Is fulfilling the rights of spouse obligatory?","shami strir hok aday kora ki wajib",Obligatory,Family_and_Marriage,"Wajib","স্বামী ও স্ত্রী একে অপরের হক আদায় করবে।","Fulfilling the mutual rights of husband and wife is obligatory.","SEE_REFERENCE_SOURCE","Numerous hadiths on spousal rights","Sahih_Bukhari",NEEDS_VERIFICATION,"spousal rights,hok"
118,"রাসূলুল্লাহর সুন্নত অনুসরণ করা কি ওয়াজিব?","Is following the Sunnah of the Prophet obligatory?","rasulullahr sunnat onusoron kora ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","রাসূলুল্লাহ ﷺ এর সুন্নত অনুসরণ করা ওয়াজিব।","Following the Sunnah of the Prophet ﷺ is obligatory.","And whatever the Messenger has given you - take it","Quran 59:7","Quran",verified,"sunnah,ittiba,rasul"
119,"রাসূলুল্লাহকে ভালোবাসা কি ঈমানের অংশ?","Is loving the Prophet part of faith?","rasulullahke bhalobasha ki imaner ongsho",Obligatory,Faith_and_Aqidah,"Part of Iman","রাসূলুল্লাহ ﷺ কে নিজের প্রাণের চেয়ে বেশি ভালোবাসা ঈমানের অংশ।","Loving the Prophet ﷺ more than oneself is part of true faith.","None of you truly believes until I am more beloved to him than his father, his child, and all people","Sahih al-Bukhari","Sahih_Bukhari",verified,"love of prophet,hubb,iman"
120,"সাহাবাদের সম্মান করা কি ওয়াজিব?","Is respecting the Sahaba obligatory?","sahabader somman kora ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","সাহাবায়ে কেরামের সম্মান করা ওয়াজিব।","Respecting the Companions of the Prophet is obligatory.","SEE_REFERENCE_SOURCE","Hadiths on the virtue of the Sahaba","Sahih_Bukhari",NEEDS_VERIFICATION,"sahaba,companions,respect"
121,"আবু বকর সিদ্দীক রা.-এর ফজিলত","Virtue of Abu Bakr as-Siddiq (RA)","abu bakr siddik rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","আবু বকর সিদ্দীক রা. সর্বশ্রেষ্ঠ সাহাবী।","Abu Bakr as-Siddiq (RA) is the best of the Companions.","SEE_REFERENCE_SOURCE","Numerous authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"abu bakr,siddiq"
122,"উমর ইবনুল খাত্তাব রা.-এর ফজিলত","Virtue of Umar ibn al-Khattab (RA)","umar ibnul khattab rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","উমর ইবনুল খাত্তাব রা. দ্বিতীয় শ্রেষ্ঠ সাহাবী।","Umar ibn al-Khattab (RA) is the second greatest Companion.","SEE_REFERENCE_SOURCE","Authentic hadiths on Umar","Sahih_Bukhari",NEEDS_VERIFICATION,"umar,faruq"
123,"সব নবীকে বিশ্বাস করা কি ফরজ?","Is believing in all Prophets obligatory?","sob nobike bishwash kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard","সব নবী ও রাসূলের প্রতি ঈমান আনা ফরজ।","Believing in all the Prophets and Messengers is obligatory.","The Messenger has believed in what was revealed to him from his Lord, and so have the believers...","Quran 2:285","Quran",verified,"prophets,nabi,iman"
124,"আখিরাতের দিনকে বিশ্বাস করা কি ফরজ?","Is belief in the Last Day obligatory?","akhirater dinke bishwash kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard","আখিরাত, কিয়ামত, জান্নাত ও জাহান্নামের প্রতি ঈমান ফরজ।","Belief in the Last Day, Paradise and Hell is obligatory.","SEE_REFERENCE_SOURCE","Quran and Hadith on Iman","Quran",verified,"akhirah,last day,iman"
125,"জান্নাতের প্রতি ঈমান আনা কি ফরজ?","Is belief in Paradise obligatory?","jannater proti iman ana ki foroj",Obligatory,Faith_and_Aqidah,"Fard","জান্নাতের অস্তিত্বের প্রতি ঈমান আনা ফরজ।","Believing in the existence of Paradise is obligatory.","SEE_REFERENCE_SOURCE","Quranic descriptions of Jannah","Quran",verified,"jannah,paradise,iman"
126,"জাহান্নামের প্রতি ঈমান আনা কি ফরজ?","Is belief in Hellfire obligatory?","jahannamer proti iman ana ki foroj",Obligatory,Faith_and_Aqidah,"Fard","জাহান্নামের অস্তিত্বের প্রতি ঈমান আনা ফরজ।","Believing in the existence of Hellfire is obligatory.","SEE_REFERENCE_SOURCE","Quranic descriptions of Jahannam","Quran",verified,"jahannam,hell,iman"
127,"আল্লাহর একত্ববাদ বিশ্বাস করা কি ফরজ?","Is belief in the Oneness of Allah obligatory?","allahor ektowbad bishwash kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard (foundation of Islam)","তাওহীদ তথা আল্লাহর একত্ববাদ বিশ্বাস করা ইসলামের মূল ভিত্তি।","Belief in the absolute Oneness of Allah (Tawhid) is the foundation of Islam.","Say, He is Allah, the One","Quran 112:1","Quran",verified,"tawhid,oneness,allah"
128,"আল্লাহর নাম ও গুণাবলী বিশ্বাস করা কি ফরজ?","Is belief in Allah's names and attributes obligatory?","allahor nam o gunaboli bishwash kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard","আল্লাহর সুন্দর নামসমূহ ও সিফাতের প্রতি ঈমান আনা ফরজ।","Believing in the beautiful names and attributes of Allah is obligatory.","SEE_REFERENCE_SOURCE","Quran and Hadith on Asma wa Sifat","Quran",NEEDS_VERIFICATION,"asma was sifat,names of allah"
129,"হালাল খাবার খাওয়া কি ওয়াজিব?","Is eating only halal food obligatory?","halal khabar khawa ki wajib",Obligatory,Food_and_Drink,"Wajib","হালাল ও পবিত্র খাবার খাওয়া ওয়াজিব।","Eating only halal and pure food is obligatory.","O mankind, eat from whatever is on earth that is lawful and good","Quran 2:168","Quran",verified,"halal food,khabar"
130,"দৈনন্দিন কাজকর্ম কি জায়েজ?","Are ordinary daily activities permissible?","doinondin kajkormo ki jayez",Permissible,Social_Conduct,"Mubah","দৈনন্দিন সাধারণ কাজকর্ম জায়েজ যতক্ষণ না তাতে হারাম উপাদান থাকে।","Ordinary daily work and activities are permissible as long as they contain no haram element.","SEE_REFERENCE_SOURCE","General principle of permissibility","Fiqh_Hanafi",verified,"daily work,kajkormo,mubah"
131,"ইমাম আবু হানিফা রহ.-এর মর্যাদা","Status of Imam Abu Hanifa (RH)","imam abu hanifa rohm er morjada",Recommended,Faith_and_Aqidah,"High scholarly rank","ইমাম আবু হানিফা রহ. একজন মহান মুজতাহিদ ইমাম।","Imam Abu Hanifa (RH) is one of the greatest mujtahid Imams.","SEE_REFERENCE_SOURCE","Classical biographical works","Fiqh_Hanafi",NEEDS_VERIFICATION,"abu hanifa,imam"
132,"ইমাম বুখারী রহ.-এর মর্যাদা","Status of Imam al-Bukhari (RH)","imam bukhari rohm er morjada",Recommended,Faith_and_Aqidah,"High scholarly rank","ইমাম বুখারী রহ. সর্বাধিক নির্ভরযোগ্য হাদিস সংকলক।","Imam al-Bukhari (RH) is the most authentic compiler of Hadith.","SEE_REFERENCE_SOURCE","Classical Hadith sciences","Sahih_Bukhari",NEEDS_VERIFICATION,"bukhari,imam"
133,"হজরত ইবরাহীম আ.-এর মর্যাদা","Status of Prophet Ibrahim (AS)","hojurat ibrahim a er morjada",Recommended,Faith_and_Aqidah,"Ulul Azm Prophet","হজরত ইবরাহীম আ. উলুল আজম নবী এবং খলিলুল্লাহ।","Prophet Ibrahim (AS) is one of the greatest Messengers and Khalilullah.","SEE_REFERENCE_SOURCE","Quranic verses on Ibrahim","Quran",verified,"ibrahim,abraham"
134,"হজরত মূসা আ.-এর মর্যাদা","Status of Prophet Musa (AS)","hojurat musa a er morjada",Recommended,Faith_and_Aqidah,"Ulul Azm Prophet","হজরত মূসা আ. উলুল আজম নবী।","Prophet Musa (AS) is one of the greatest Messengers.","SEE_REFERENCE_SOURCE","Quranic verses on Musa","Quran",verified,"musa,moses"
135,"হজরত ঈসা আ.-এর মর্যাদা","Status of Prophet Isa (AS)","hojurat isa a er morjada",Recommended,Faith_and_Aqidah,"Ulul Azm Prophet","হজরত ঈসা আ. উলুল আজম নবী এবং তিনি এখনও জীবিত।","Prophet Isa (AS) is one of the greatest Messengers and is still alive.","SEE_REFERENCE_SOURCE","Quranic verses on Isa","Quran",verified,"isa,jesus"
